MEMNAME,APPLICATION,GROUP_NAME,MESSAGE,HANDLED,JOB_NAME,SEVERITY,ORDER_ID,USER_ID,NODE_ID,HOST_TIME,CHANGED_BY,UPD_TIME,NOTES,DATA_CENTER,SERIAL,TYPE,CLOSED_FROM_EM,TICKET_NUMBER,RUN_COUNTER,REMEDY_PROFILE
 ,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbc20b.ett,V,28cl3,edwetl,hqit-etl03,2020/08/05 01:12:33,,,,pctmla01,4000,R,,,1,
 ,03E2.EDW-기간계ETT,EN2.감사_감독원상시,Ended not OK,0,nii02b.ett,V,28w9v,edwetl,hqit-etl03,2020/08/07 01:02:42,,,,pctmla01,4021,R,,,1,
 ,10C1.RDF,RD2.TO-BE_Daily,Ended not OK,0,RRZ0200D_S01,V,29hgz,rmsetl,hqit-etl03,2020/08/09 02:00:20,,,,pctmla01,4040,R,,,1,
 ,03E4.EDW-정보계ETT,EV3.잔고이력생성,Ended not OK,0,soc01h.ett,V,29wuy,edwetl,hqit-etl03,2020/08/10 01:00:14,,,,pctmla01,4044,R,,,1,
 ,03E2.EDW-기간계ETT,ER6.제권리,Ended not OK,0,srr24b.ett,V,29wjj,edwetl,hqit-etl03,2020/08/10 01:08:52,,,,pctmla01,4047,R,,,1,
 ,03E2.EDW-기간계ETT,EF1.재무회계,Ended not OK,0,afb03b.ett,V,29rlg,edwetl,hqit-etl03,2020/08/10 01:20:07,,,,pctmla01,4049,R,,,1,
 ,10C1.RDF,RD2.TO-BE_Daily,Ended not OK,0,RRZ0200D_S01,V,29t16,rmsetl,hqit-etl03,2020/08/10 02:00:18,,,,pctmla01,4050,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S01,V,2a872,hdpfm,pcua02,2020/08/10 17:05:19,,,,pctmla01,4059,R,,,1,
SPRD0005.sh,01F1.기간계-장시작전,SP1.재매매및일괄매도,Ended not OK,0,SPRD0005_S01,V,2ayb8,hdpfm,pcua02,2020/08/13 08:39:53,,,,pctmla01,4103,R,,,1,
IEBD4005.sh,01G1.기간계-장중,IE1.해외자산상품처리,Ended not OK,0,IEBD4005_S01,V,2azty,hdpfm,pcua01,2020/08/13 09:30:12,,,,pctmla01,4104,R,,,1,
SPBM0148.sh,01A1.기간계-장마감,SP54.펀드자료생성,Ended not OK,0,SPBM0148_S01,V,26dfj,hdpfm,pcua02,2020/07/29 17:36:26,,,,pctmla01,3931,R,,,1,
 ,03E2.EDW-기간계ETT,ER2.입출금_대외연계,Ended not OK,0,seb12b.ett,V,26k2u,edwetl,hqit-etl03,2020/07/31 01:15:20,,,,pctmla01,3949,R,,,1,
 ,01F1.기간계-장시작전,SI1.기준가생성,Ended not OK,0,SIBD0041_S03,V,26r1k,hdpfm,pcua01,2020/07/31 08:00:03,,,,pctmla01,3951,R,,,1,
SOBD1655.sh,01B1.기간계-시간외,SO2.잔고증명서발급,Ended not OK,0,SOBD1655_S01,V,26xq5,hdpfm,pcua01,2020/07/31 19:00:18,,,,pctmla01,3955,R,,,1,
SOBD1655.sh,01B1.기간계-시간외,SO2.잔고증명서발급,Ended not OK,0,SOBD1655_S01,V,26xq5,hdpfm,pcua01,2020/07/31 19:18:22,,,,pctmla01,3956,R,,,2,
SOBD1655.sh,01B1.기간계-시간외,SO2.잔고증명서발급,Ended not OK,0,SOBD1655_S01,V,26xq5,hdpfm,pcua01,2020/07/31 20:16:05,,,,pctmla01,3957,R,,,3,
 ,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbs11b.ett,V,272f5,edwetl,hqit-etl03,2020/08/01 01:09:28,,,,pctmla01,3962,R,,,1,
 ,03E2.EDW-기간계ETT,ES3.매매_파생상품,Ended not OK,0,sfd66b.ett,V,26vuq,edwetl,hqit-etl03,2020/08/01 01:09:40,,,,pctmla01,3963,R,,,1,
 ,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbs08b.ett,V,27dw8,edwetl,hqit-etl03,2020/08/02 01:09:03,,,,pctmla01,3968,R,,,1,
 ,10C1.RDF,RD2.TO-BE_Daily,Ended not OK,0,RRZ0200D_S01,V,278jw,rmsetl,hqit-etl03,2020/08/02 02:00:20,,,,pctmla01,3970,R,,,1,
 ,03E2.EDW-기간계ETT,EZ1.조건_코드,Ended not OK,0,szz13b.ett,V,281yj,edwetl,hqit-etl03,2020/08/04 01:19:11,,,,pctmla01,3988,R,,,1,
srb04b.ett,03E2.EDW-기간계ETT,ER6.제권리,Ended not OK,0,srb04b.ett,V,28ap7,edwetl,hqit-etl03,2020/08/05 01:06:30,,,,pctmla01,3998,R,,,1,
 ,03E2.EDW-기간계ETT,EI1.자기매매ETT,Ended not OK,0,ibb02b.ett,V,28hh2,edwetl,hqit-etl03,2020/08/06 01:16:11,,,,pctmla01,4011,R,,,1,
IOBD0005.sh,02G1.정보계-장중,IO1.OTC_BO익일평가,Ended not OK,0,IOBD0005_S02,V,28qtm,hdpfm,piua01,2020/08/06 09:50:49,,,,pctmla01,4015,R,,,1,
 ,03E2.EDW-기간계ETT,EN2.감사_감독원상시,Ended not OK,0,nii29b.ett,V,28w9p,edwetl,hqit-etl03,2020/08/07 01:03:24,,,,pctmla01,4022,R,,,1,
IOBD0009.sh,02B1.정보계-시간외,IO2.OTC_시간외,Ended not OK,0,IOBD0009_S01,V,29ag9,hdpfm,piua01,2020/08/07 19:01:16,,,,pctmla01,4027,R,,,1,
 ,03E2.EDW-기간계ETT,EI1.자기매매ETT,Ended not OK,0,iss02b.ett,V,294le,edwetl,hqit-etl03,2020/08/08 01:15:33,,,,pctmla01,4033,R,,,1,
ALBD0002.sh,01F1.기간계-장시작전,AL1.회계관리원장,Ended not OK,0,ALBD0002_S01,V,29432,hdpfm,pcua02,2020/08/10 09:18:41,,,,pctmla01,4051,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S07,V,2a86w,hdpfm,pcua01,2020/08/10 17:05:16,,,,pctmla01,4058,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S09,V,2a86u,hdpfm,pcua02,2020/08/10 17:05:24,,,,pctmla01,4061,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S05,V,2a86g,hdpfm,pcua02,2020/08/10 17:05:45,,,,pctmla01,4064,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S03,V,2a86s,hdpfm,pcua02,2020/08/10 17:05:46,,,,pctmla01,4065,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S11,V,2a86y,hdpfm,pcua01,2020/08/10 17:05:48,,,,pctmla01,4066,R,,,1,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S08,V,2a86o,hdpfm,pcua01,2020/08/10 17:05:54,,,,pctmla01,4067,R,,,1,
 ,03E2.EDW-기간계ETT,EN2.감사_감독원상시,Ended not OK,0,nii12b.ett,V,2a6ji,edwetl,hqit-etl03,2020/08/11 01:02:48,,,,pctmla01,4072,R,,,1,
 ,03E2.EDW-기간계ETT,ES2.매매_비접속_장외,Ended not OK,0,spe03b.ett,V,2ac55,edwetl,hqit-etl03,2020/08/11 01:07:19,,,,pctmla01,4075,R,,,1,
 ,03F1.EDW-장시작전,CM1.CMP-마스터,Ended not OK,0,kap09b0.btq,V,2a7xp,mapuser,pela01,2020/08/11 06:03:41,,,,pctmla01,4078,R,,,1,
 ,03E2.EDW-기간계ETT,ER6.제권리,Ended not OK,0,srr08b.ett,V,2av6u,edwetl,hqit-etl03,2020/08/13 01:06:32,,,,pctmla01,4101,R,,,1,
 ,03E2.EDW-기간계ETT,ER6.제권리,Ended not OK,0,srp14b.ett,V,2av81,edwetl,hqit-etl03,2020/08/13 01:07:48,,,,pctmla01,4102,R,,,1,
 ,01G1.기간계-장중,SE2.SCC매입처리,Ended not OK,0,SEBD5409_S01,V,2awmw,hdpfm,pcua01,2020/08/13 11:10:03,,,,pctmla01,4105,R,,,1,
cbc70b.ett,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbc70b.ett,V,27pij,edwetl,hqit-etl03,2020/08/03 01:15:13,,,,pctmla01,3978,R,,,1,
 ,10C1.RDF,RD2.TO-BE_Daily,Ended not OK,0,RRZ0200D_S01,V,27k44,rmsetl,hqit-etl03,2020/08/03 02:00:19,,,,pctmla01,3980,R,,,1,
 ,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbc75b.ett,V,27dxx,edwetl,hqit-etl03,2020/08/02 01:16:38,,,,pctmla01,3969,R,,,1,
ALBD0002.sh,01F1.기간계-장시작전,AL1.회계관리원장,Ended not OK,0,ALBD0002_S01,V,276pn,hdpfm,pcua01,2020/08/02 06:10:04,,,,pctmla01,3971,R,,,1,
 ,03E2.EDW-기간계ETT,ES2.매매_비접속_장외,Ended not OK,0,spn76b.ett,V,27rqi,edwetl,hqit-etl03,2020/08/03 01:05:33,,,,pctmla01,3975,R,,,1,
 ,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbc31b.ett,V,27pfz,edwetl,hqit-etl03,2020/08/03 01:09:09,,,,pctmla01,3976,R,,,1,
 ,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbe11b.ett,V,27pgu,edwetl,hqit-etl03,2020/08/03 01:09:45,,,,pctmla01,3977,R,,,1,
