DATA_CENTER,JOB,USER_CD_1,USER_CD_2,USER_CD_3,USER_CD_4,DESCRIPTION,SMS_1,SMS_2,SMS_3,SMS_4,ERROR_DESCRIPTION
pctmla01,01A1_SF2_DE02,1716,591,,,분기-거래소 결제데이터 수신후 데일리,Y,Y,Y,N,즉시연락
pctmla01,01C1_IB01_DS,617,1706,1717,,시작-상품 (22:00 - 업무마감 후),Y,Y,Y,Y,즉시연락
pctmla01,01C1_IB01_DS01,617,1706,1717,,시작-상품채권개별결제,Y,Y,Y,Y,즉시연락
pctmla01,01C1_IB09_DE,617,1706,1717,,시작-상품 (22:00 - 업무마감 후),Y,Y,Y,Y,즉시연락
pctmla01,01C1_RR1_DE,577,,,,종료- RMS_일계수집계,Y,N,,N,즉시연락
pctmla01,01C1_RR1_DS,577,,,,시작- RMS_일계수집계,Y,N,,N,즉시연락
pctmla01,01C1_SA0_DS,620,2039,,,시작-고객계좌 (22:00 - 업무마감 후),Y,Y,,,즉시연락
pctmla01,01C1_SA1_DE01,620,2039,,,종료-계좌당일업무마감,Y,Y,,,즉시연락
pctmla01,01C1_SA1_DS01,620,2039,,,시작-계좌당일업무마감,Y,Y,,,즉시연락
pctmla01,01C1_SA9_DE,620,2039,,,종료-고객계좌 (22:00 - 업무마감 후),Y,Y,,,즉시연락
pctmla01,01C1_SE0_DS,1206,,,,시작-대외연계 (22:00 - 업무마감 후),Y,Y,,N,즉시연락
pctmla01,01C1_SE1_DS,1206,,,,시작-대외연계업무마감,Y,Y,,N,즉시연락
pctmla01,01C1_SE2_DE,1206,,814,,종료-대외연계집계대사,Y,Y,Y,Y,즉시연락
pctmla01,01A1_AF1_DE,722,531,,,종료 SIGNAL - 회계 (15:00 - 장마감 후),Y,Y,Y,N,즉시연락
pctmla01,01A1_AF1_DE01,722,531,,,종료 SIGNAL - 급여FILE 회계처리 자동분개 일괄처리,Y,Y,Y,N,즉시연락
pctmla01,01A1_AF1_DS,722,531,,,시작 SIGNAL - 회계 (15:00 - 장마감 후),Y,Y,Y,N,즉시연락
pctmla01,01A1_AF1_DS01,722,531,,,시작 SIGNAL - 급여FILE 회계처리 자동분개 일괄처리,Y,Y,Y,,즉시연락
pctmla01,01A1_DMST,544,,,,01A1.기간계 시작 (15:00 - 장마감 후),Y,,,,즉시연락
pctmla01,01A1_IE1_DE,617,1706,1717,,종료-해외자산상품처리(15:00-장마감후),Y,Y,Y,Y,즉시연락
pctmla01,01A1_IE1_DS,617,583,1717,,시작-해외자산상품처리(15:00-장마감후),Y,,Y,Y,즉시연락
pctmla01,01A1_IF00_DS,617,1706,1717,,시작-상품 (장마감후),Y,Y,Y,Y,즉시연락
pctmla01,01A1_IF01_DE,617,1706,1717,,종료-상품선물옵션 결제,Y,Y,Y,Y,즉시연락
pctmla01,01A1_IF01_DS,617,1706,1717,,시작-상품선물옵션 결제,Y,Y,Y,Y,즉시연락
pctmla01,01A1_IF02_DE,617,583,1717,,종료-상품선물옵션,Y,,Y,,즉시연락
pctmla01,01A1_IF02_DS,617,1706,1717,,시작-상품선물옵션,Y,Y,Y,Y,즉시연락
pctmla01,01A1_IF09_DE,617,1706,1717,,종료-상품 (장마감후),Y,Y,Y,Y,즉시연락
pctmla01,01A1_SA0_DS,620,2039,,,시작-고객계좌 (15:00 - 장마감 후),Y,Y,Y,,즉시연락
pctmla01,01A1_SA1_DE01,620,2039,,,종료-계좌당일자동해지,Y,Y,Y,,즉시연락
pctmla01,01A1_SA1_DS01,620,2039,,,시작-계좌당일자동해지,Y,Y,Y,,즉시연락
pctmla01,01A1_SA9_DE,620,2039,,,종료-고객계좌기타(15:00 - 장마감 후),Y,Y,Y,,즉시연락
pctmla01,01A1_SE0_DS,1206,,814,,시작-대외연계 (15:00 - 장마감 후),Y,Y,Y,Y,즉시연락
pctmla01,01A1_SE1_DE,1206,,,,종료-정기송금대상선정,Y,Y,,,즉시연락
pctmla01,01A1_SE1_DS,1206,,,,시작-정기송금대상선정,Y,Y,,N,즉시연락
pctmla01,01A1_SE2_DE,1206,,814,,종료-연합회자료송수신,Y,Y,Y,,즉시연락
pctmla01,01A1_SE2_DS,1206,,,,시작-연합회자료송수신,Y,Y,,N,즉시연락
pctmla01,01A1_SE3_DE,1206,,814,,종료-예약이체대체,Y,Y,Y,,즉시연락
pctmla01,01A1_SE3_DS,1206,,,,시작-예약이체대체,Y,Y,,,즉시연락
pctmla01,01A1_SE4_DE,1206,814,,,종료-독자체크카드EDI취소선지급,Y,Y,Y,,즉시연락
pctmla01,01A1_SE4_DS,1206,814,,,시작-독자체크카드EDI취소선지급,Y,Y,,,즉시연락
